job_id,company_id,company_name,job_title,job_url,source,location_text,remote_policy,nyc_relevance,posted_date,job_type,salary_range,equity_range,min_experience,skills,seniority,role_family,operator_need_tags,ai_surface_tags,leadership_flag,operator_adjacent,classification_method,classification_confidence,manual_review_flag,collected_at
waas-97694,yc-30426,Ralo,Brand & Social Media Lead,https://www.workatastartup.com/jobs/97694,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$100K - $150K,,Any (new grads ok),,lead,design,,voice_audio|finance_ai,,0,keyword,0.9,0,2026-07-08T02:50:51Z
waas-96990,yc-30426,Ralo,Loan Officer Engineer,https://www.workatastartup.com/jobs/96990,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$100K - $150K,,Any (new grads ok),,mid,product_engineering,internal_tools,finance_ai,,0,keyword,0.9,0,2026-07-08T02:50:51Z
waas-96989,yc-30426,Ralo,Performance Marketing Lead,https://www.workatastartup.com/jobs/96989,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$100K - $150K,,3+ years,,lead,gtm_sales_cs,gtm_analytics|reporting_bi,voice_audio|finance_ai,,0,keyword,0.9,0,2026-07-08T02:50:51Z
waas-81307,yc-30039,Raycaster,Clinical Trial Enablement Workflow Expert,https://www.workatastartup.com/jobs/81307,workatastartup,"New York, NY, US / Remote",hybrid,nyc_optional,,Contract,$40 - $130 / hourly,,3+ years,,mid,gtm_sales_cs,model_eval_observability|agent_workflows|security_compliance,agents|health_ai,,0,keyword,0.9,0,2026-07-08T02:50:55Z
waas-87515,yc-30039,Raycaster,Founding GTM @ Raycaster - Life Sciences,https://www.workatastartup.com/jobs/87515,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$100K - $500K,0.50% - 4.00%,1+ years,Python,founding,gtm_sales_cs,gtm_analytics,voice_audio|health_ai|legal_ai,,0,keyword,0.9,0,2026-07-08T02:50:55Z
waas-86357,yc-30039,Raycaster,Founding Engineer (In-Person),https://www.workatastartup.com/jobs/86357,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$100K - $160K,2.00% - 10.00%,3+ years,Amazon Web Services (AWS)|Microsoft Azure|Go|Google Cloud|Python|TypeScript|Distributed Systems,founding,product_engineering,model_eval_observability|agent_workflows|infra_platform,agents|llm_applications|health_ai,,0,keyword,0.9,0,2026-07-08T02:50:55Z
waas-81306,yc-30039,Raycaster,CMC Workflow Specialist (Analytical/Tech Transfer),https://www.workatastartup.com/jobs/81306,workatastartup,"New York, NY, US / Remote",hybrid,nyc_optional,,Contract,$40 - $130 / hourly,,3+ years,,mid,forward_deployed_solutions,warehouse_semantic_layer|agent_workflows|workflow_automation|security_compliance|infra_platform,agents,,1,manual_review,0.95,0,2026-07-08T02:50:55Z
waas-69821,yc-25272,Redbird,Product Manager,https://www.workatastartup.com/jobs/69821,workatastartup,US / Remote (US),remote,remote_us,,Full-time,,,3+ years,,mid,product_management,data_pipeline|customer_implementation,voice_audio,,0,keyword,0.9,0,2026-07-08T02:51:03Z
waas-57417,yc-25272,Redbird,DevOps Engineer,https://www.workatastartup.com/jobs/57417,workatastartup,US / Remote (US),remote,remote_us,,Full-time,$120K,,3+ years,Amazon Web Services (AWS)|Microsoft Azure|Google Cloud|Python,mid,product_engineering,security_compliance|infra_platform,,,0,keyword,0.9,0,2026-07-08T02:51:03Z
waas-62099,yc-25272,Redbird,Integration Engineer,https://www.workatastartup.com/jobs/62099,workatastartup,"New York, NY / Remote (US)",hybrid,nyc_optional,,Full-time,,,3+ years,Python|SQL|Data Analytics,mid,product_engineering,data_pipeline|warehouse_semantic_layer,robotics,,0,keyword,0.9,0,2026-07-08T02:51:03Z
waas-54298,yc-25272,Redbird,Software Engineer,https://www.workatastartup.com/jobs/54298,workatastartup,"New York, NY / Remote (US)",hybrid,nyc_optional,,Full-time,,,3+ years,JavaScript|Python|React,mid,product_engineering,,,,0,keyword,0.6,0,2026-07-08T02:51:03Z
